component,rows,positive_rows,positive_rate,target_units_sum,target_units_mean,target_units_p50,target_units_p90,target_units_max,target_flms_mean,target_flms_p90,target_flms_max,used_for_training,filter_rule
allocate_classifier,9154,8291,0.9057242735416211,47913.0,5.234105309154468,4.0,12.0,252.0,1.3967118199694122,2.0,50.0,True,Flag contains ALLOCATE only
allocate_ranker,9154,8291,0.9057242735416211,47913.0,5.234105309154468,4.0,12.0,252.0,1.3967118199694122,2.0,50.0,True,Flag contains ALLOCATE only
allocate_auxiliary,9154,8291,0.9057242735416211,47913.0,5.234105309154468,4.0,12.0,252.0,1.3967118199694122,2.0,50.0,True,Flag contains ALLOCATE only
allocate_regressor,9154,8291,0.9057242735416211,47913.0,5.234105309154468,4.0,12.0,252.0,1.3967118199694122,2.0,50.0,True,Flag contains ALLOCATE only
review_pass1_classifier,1186,626,0.5278246205733558,2155.0,1.8170320404721754,1.0,6.0,24.0,0.7172709387296233,2.0,7.0,True,Flag contains REVIEW and Supply <= 0 and Dc Avail > 0
review_pass1_ranker,1186,626,0.5278246205733558,2155.0,1.8170320404721754,1.0,6.0,24.0,0.7172709387296233,2.0,7.0,True,Flag contains REVIEW and Supply <= 0 and Dc Avail > 0
review_classifier,10080,2381,0.23621031746031745,10031.0,0.9951388888888889,0.0,4.0,42.0,0.3366005291005292,1.0,21.0,True,Flag contains REVIEW only
review_ranker,10080,2381,0.23621031746031745,10031.0,0.9951388888888889,0.0,4.0,42.0,0.3366005291005292,1.0,21.0,True,Flag contains REVIEW only
review_auxiliary,10080,2381,0.23621031746031745,10031.0,0.9951388888888889,0.0,4.0,42.0,0.3366005291005292,1.0,21.0,True,Flag contains REVIEW only
review_regressor,10080,2381,0.23621031746031745,10031.0,0.9951388888888889,0.0,4.0,42.0,0.3366005291005292,1.0,21.0,True,Flag contains REVIEW only
site802_allocate_specialist,330,142,0.4303030303030303,852.0,2.581818181818182,0.0,6.0,252.0,0.8727272727272727,2.0,19.0,True,Site 802 and Flag contains ALLOCATE
site802_review_specialist,167,29,0.17365269461077845,115.0,0.688622754491018,0.0,2.0,42.0,0.34880239520958084,1.0,21.0,True,Site 802 and Flag contains REVIEW
ak_allocate_specialist,553,509,0.9204339963833634,4035.0,7.296564195298372,5.0,12.0,200.0,1.7341772151898733,3.0,50.0,True,AK store and Flag contains ALLOCATE
ak_review_specialist_disabled,532,140,0.2631578947368421,681.0,1.2800751879699248,0.0,5.0,30.0,0.41235902255639095,1.0,8.0,False,AK Review rows are intentionally not used by the AK specialist
